year,km_driven,owner,brand,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,transmission_Automatic,transmission_Manual,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer
2014,0.11405805618164191,1,0.04,0,1,0,0,0,1,1,0,0
2009,0.08277109539076467,2,0.46,0,0,0,1,0,1,1,0,0
2009,0.12397625583004174,1,0.46,0,0,0,1,0,1,0,1,0
2010,0.4339199948425362,2,0.07,0,1,0,0,0,1,0,1,0
2011,0.2851470001165389,1,0.04,0,1,0,0,0,1,0,1,0
2017,0.07438525758804262,1,0.05,0,1,0,0,0,1,0,1,0
2018,0.038431783862593265,1,0.17,0,0,0,1,0,1,0,1,0
2007,0.04834998351099309,1,0.09,0,1,0,0,0,1,0,1,0
2009,0.14877175495104128,3,0.04,0,1,0,0,0,1,0,1,0
2014,0.20580140292934027,4,0.09,0,1,0,0,0,1,0,1,0
2006,0.1363740053905415,3,0.46,0,0,0,1,0,1,0,1,0
2017,0.043390883686793176,1,0.07,0,1,0,0,0,1,0,1,0
2018,0.07438525758804262,1,0.46,0,1,0,0,0,1,0,1,0
2007,0.06694660785174275,2,0.03,0,0,0,1,1,0,0,1,0
2010,0.07810458245619255,2,0.17,0,0,0,1,0,1,0,1,0
2014,0.14877175495104128,2,0.07,0,1,0,0,0,1,0,1,0
2005,0.14877175495104128,3,0.17,0,0,0,1,0,1,0,1,0
2014,0.09422165688484227,2,0.07,0,0,0,1,0,1,0,1,0
2015,0.09918075670904218,1,0.17,0,1,0,0,0,1,0,1,0
2019,0.030993134126293394,1,0.17,0,1,0,0,0,1,0,1,0
2016,0.014823989149489585,1,0.03,0,0,0,1,0,1,1,0,0
2015,0.024794259346043505,1,0.03,0,0,0,1,0,1,1,0,0
2017,0.01115673482949375,1,0.17,0,0,0,1,0,1,1,0,0
2017,0.008057297439368805,1,0.07,0,1,0,0,1,0,1,0,0
2015,0.0867830071485424,1,0.05,0,1,0,0,0,1,0,1,0
2013,0.14877175495104128,1,0.03,0,1,0,0,0,1,0,1,0
2007,0.07190570767594266,2,0.17,0,0,0,1,0,1,1,0,0
2013,0.07711276249135257,1,0.05,0,1,0,0,0,1,1,0,0
2014,0.042151108730743195,2,0.07,0,1,0,0,1,0,1,0,0
2015,0.06570683289569278,2,0.07,0,1,0,0,0,1,0,1,0
2013,0.060747733071492865,1,0.07,0,1,0,0,1,0,1,0,0
2017,0.018595384565793616,2,0.07,0,0,0,1,0,1,1,0,0
2013,0.06198750802754284,1,0.07,0,0,0,1,0,1,0,1,0
2013,0.06570683289569278,1,0.07,0,1,0,0,1,0,1,0,0
2009,0.07872446993421754,1,0.03,0,0,0,1,1,0,1,0,0
2018,0.012148554794333733,1,0.07,0,0,0,1,1,0,1,0,0
2017,0.01611583465369366,1,0.07,0,1,0,0,1,0,0,1,0
2018,0.026034034302093483,1,0.07,0,1,0,0,1,0,1,0,0
2008,0.036166715017889955,1,0.46,0,0,0,1,0,1,1,0,0
2012,0.059507958115442884,1,0.07,0,1,0,0,1,0,1,0,0
2017,0.14877175495104128,1,0.05,0,1,0,0,0,1,0,1,0
2010,0.12397625583004174,1,0.17,0,1,0,0,0,1,0,1,0
2017,0.037192008906543284,1,0.07,0,0,0,1,0,1,0,1,0
2018,0.10785918140139202,1,0.05,0,1,0,0,0,1,0,1,0
2019,0.018595384565793616,1,0.17,0,0,0,1,0,1,0,1,0
2017,0.019835159521843594,1,0.03,0,0,0,1,0,1,0,1,0
2012,0.07438525758804262,1,0.05,0,1,0,0,0,1,0,1,0
2010,0.07438525758804262,4,0.46,0,0,0,1,0,1,0,1,0
2011,0.1363740053905415,3,0.46,0,0,0,1,0,1,0,1,0
2017,0.030993134126293394,1,0.03,0,0,0,1,0,1,0,1,0
2016,0.07438525758804262,1,0.17,0,1,0,0,0,1,0,1,0
2014,0.09837490298760969,2,0.46,0,1,0,0,0,1,0,1,0
2016,0.09918075670904218,1,0.17,0,0,0,1,1,0,0,1,0
2014,0.11157850626954195,2,0.05,0,1,0,0,0,1,0,1,0
2007,0.11157850626954195,2,0.46,0,0,0,1,0,1,0,1,0
2014,0.14877175495104128,2,0.46,0,1,0,0,0,1,0,1,0
2013,0.07438525758804262,2,0.07,0,1,0,0,0,1,0,1,0
2004,0.06198750802754284,1,0.46,0,0,0,1,0,1,0,1,0
2018,0.024794259346043505,1,0.46,0,0,0,1,0,1,0,1,0
2007,0.1363740053905415,4,0.46,0,1,0,0,0,1,0,1,0
2012,0.06198750802754284,2,0.09,0,0,0,1,0,1,0,1,0
2012,0.12397625583004174,1,0.04,0,1,0,0,0,1,0,1,0
2016,0.0867830071485424,2,0.46,0,1,0,0,0,1,0,1,0
2016,0.0867830071485424,2,0.17,0,1,0,0,0,1,0,1,0
2016,0.06198750802754284,1,0.03,0,0,0,1,0,1,0,1,0
2010,0.10042053166509216,2,0.09,0,1,0,0,0,1,0,1,0
2012,0.14877175495104128,3,0.07,0,1,0,0,0,1,0,1,0
2015,0.00446195006682387,1,0.07,0,1,0,0,0,1,1,0,0
2015,0.017692828397789233,1,0.07,0,0,0,1,0,1,1,0,0
2017,0.06101180513713151,1,0.07,0,1,0,0,0,1,1,0,0
2015,0.04958975846704306,1,0.17,0,0,0,1,0,1,0,1,0
1998,0.04958975846704306,4,0.46,0,0,0,1,0,1,0,1,0
2012,0.09918075670904218,1,0.07,0,0,0,1,0,1,0,1,0
2015,0.0867830071485424,1,0.17,0,0,0,1,0,1,0,1,0
2011,0.0867830071485424,1,0.09,0,1,0,0,0,1,0,1,0
2003,0.07066593271989269,1,0.17,0,0,0,1,0,1,0,1,0
2016,0.14877175495104128,1,0.09,0,1,0,0,0,1,0,1,0
2005,0.037192008906543284,1,0.46,0,0,0,1,0,1,0,1,0
2013,0.004015631082645878,2,0.17,0,0,0,1,0,1,0,1,0
2015,0.006197635005293839,1,0.17,0,0,0,1,0,1,0,1,0
2018,0.012396509785543727,1,0.17,0,0,0,1,0,1,0,1,0
2015,0.12397625583004174,1,0.46,0,1,0,0,0,1,0,1,0
2016,0.09918075670904218,1,0.17,0,1,0,0,0,1,0,1,0
2002,0.0867830071485424,1,0.17,0,0,0,1,0,1,0,1,0
2018,0.043390883686793176,1,0.46,0,1,0,0,0,1,0,1,0
2007,0.14133310521474143,2,0.17,0,0,0,1,0,1,0,1,0
2008,0.06666393916176336,1,0.17,0,0,0,1,0,1,0,1,0
2012,0.17356725407204085,2,0.05,0,1,0,0,0,1,0,1,0
2015,0.14877175495104128,1,0.07,0,1,0,0,0,1,0,1,0
2012,0.07438525758804262,1,0.17,0,0,0,1,0,1,0,1,0
2016,0.030993134126293394,1,0.03,0,0,0,1,0,1,0,1,0
2014,0.11157850626954195,1,0.46,0,0,1,0,0,1,0,1,0
2020,0.14877175495104128,1,0.46,0,0,0,1,0,1,0,1,0
2015,0.21695937753379008,1,0.07,0,1,0,0,0,1,0,1,0
2011,0.12397625583004174,3,0.07,0,0,0,1,0,1,0,1,0
2014,0.04463065864284315,1,0.03,0,0,0,1,0,1,0,1,0
2013,0.037192008906543284,1,0.03,0,1,0,0,0,1,0,1,0
2010,0.04958975846704306,2,0.07,0,0,0,1,1,0,0,1,0
2013,0.0867830071485424,2,0.03,0,0,0,1,0,1,0,1,0
2017,0.07438525758804262,1,0.46,0,0,0,1,0,1,0,1,0
2011,0.1927837658908155,1,0.09,0,1,0,0,0,1,0,1,0
2011,0.06198750802754284,2,0.17,0,0,0,1,1,0,0,1,0
2016,0.04958975846704306,1,0.07,0,0,0,1,0,1,0,1,0
2015,0.12397625583004174,3,0.46,0,1,0,0,0,1,0,1,0
2012,0.09918075670904218,3,0.46,0,0,0,1,0,1,0,1,0
2011,0.11157850626954195,2,0.07,0,0,0,1,0,1,0,1,0
2013,0.11157850626954195,2,0.03,0,1,0,0,0,1,0,1,0
2006,0.1363740053905415,3,0.17,0,0,0,1,0,1,0,1,0
2019,0.018595384565793616,1,0.46,0,0,0,1,0,1,0,1,0
2007,0.12397625583004174,2,0.46,0,0,0,1,0,1,0,1,0
2020,0.04958975846704306,1,0.46,1,0,0,0,0,1,0,1,0
2004,0.07438525758804262,2,0.46,0,0,0,1,0,1,0,1,0
2013,0.030993134126293394,1,0.09,0,0,0,1,0,1,0,1,0
2016,0.030993134126293394,1,0.17,0,0,0,1,0,1,0,1,0
2015,0.02851358421419344,1,0.07,0,0,0,1,0,1,0,1,0
2018,0.02746597437633121,1,0.46,0,0,0,1,0,1,0,1,0
2018,0.0867830071485424,1,0.46,0,0,0,1,0,1,0,1,0
2009,0.07438525758804262,2,0.46,0,0,0,1,0,1,0,1,0
2009,0.1363740053905415,2,0.17,0,0,0,1,0,1,0,1,0
2018,0.037192008906543284,1,0.09,0,0,0,1,0,1,0,1,0
2019,0.018595384565793616,1,0.05,0,1,0,0,0,1,0,1,0
2003,0.12397625583004174,2,0.46,0,1,0,0,0,1,0,1,0
2016,0.0867830071485424,1,0.07,0,1,0,0,1,0,0,1,0
2017,0.029753359170243417,1,0.46,0,0,0,1,0,1,0,1,0
2005,0.14877175495104128,2,0.03,0,0,0,1,0,1,0,1,0
2013,0.043390883686793176,1,0.07,0,1,0,0,1,0,0,1,0
2007,0.09717232128024121,1,0.46,0,0,0,1,0,1,0,1,0
2012,0.1363740053905415,2,0.03,0,1,0,0,0,1,0,1,0
2010,0.11157850626954195,3,0.07,0,1,0,0,0,1,0,1,0
2011,0.11157850626954195,3,0.07,0,1,0,0,0,1,0,1,0
2009,0.18596500363254062,3,0.46,0,1,0,0,0,1,0,1,0
2009,0.2851470001165389,3,0.05,0,1,0,0,0,1,0,1,0
2006,0.0867830071485424,3,0.46,0,0,0,1,0,1,0,1,0
2017,0.09962955524313227,1,0.46,0,1,0,0,0,1,0,1,0
2012,0.1363740053905415,3,0.17,0,0,0,1,0,1,0,1,0
2012,0.07438525758804262,1,0.07,0,1,0,0,0,1,0,1,0
2015,0.06198750802754284,1,0.07,0,1,0,0,1,0,0,1,0
2014,0.04958975846704306,2,0.07,0,0,0,1,0,1,0,1,0
2017,0.04958975846704306,1,0.07,0,1,0,0,1,0,0,1,0
2013,0.024794259346043505,1,0.07,0,1,0,0,0,1,1,0,0
2014,0.06818638280779273,1,0.17,0,0,0,1,0,1,1,0,0
2018,0.0014071445751167248,1,0.07,0,0,0,1,0,1,1,0,0
2013,0.06818638280779273,1,0.03,0,0,0,1,0,1,1,0,0
2014,0.053309083335193,1,0.07,0,0,0,1,0,1,1,0,0
2016,0.07438525758804262,1,0.46,0,1,0,0,0,1,0,1,0
2018,0.003284163858576391,1,0.07,0,1,0,0,0,1,1,0,0
2017,0.04958975846704306,1,0.05,0,1,0,0,0,1,0,1,0
2019,0.018595384565793616,1,0.05,0,0,0,1,0,1,1,0,0
2016,0.14376554367851146,2,0.46,0,1,0,0,0,1,0,1,0
2015,0.08058413236829251,1,0.07,0,1,0,0,0,1,1,0,0
2017,0.04958975846704306,1,0.46,0,1,0,0,0,1,0,1,0
2012,0.07190570767594266,1,0.17,0,1,0,0,0,1,1,0,0
2013,0.018595384565793616,1,0.07,0,1,0,0,1,0,0,1,0
2012,0.06694660785174275,1,0.17,0,0,0,1,0,1,1,0,0
2017,0.06942615776384271,1,0.07,0,1,0,0,0,1,1,0,0
2006,0.14877175495104128,3,0.46,0,0,0,1,0,1,0,1,0
2009,0.11157850626954195,2,0.46,0,0,1,0,0,1,0,1,0
2012,0.0867830071485424,2,0.46,0,0,0,1,0,1,0,1,0
2008,0.11157850626954195,2,0.17,0,0,0,1,0,1,0,1,0
2008,0.26407082586368924,1,0.05,0,1,0,0,0,1,0,1,0
2012,0.14877175495104128,1,0.07,0,1,0,0,0,1,0,1,0
2017,0.024794259346043505,1,0.05,0,1,0,0,0,1,0,1,0
2017,0.012396509785543727,1,0.17,0,0,0,1,0,1,0,1,0
2012,0.09918075670904218,2,0.46,0,1,0,0,0,1,0,1,0
2015,0.11157850626954195,1,0.17,0,0,0,1,0,1,0,1,0
2008,0.09918075670904218,1,0.46,0,0,0,1,0,1,0,1,0
2008,0.07438525758804262,2,0.46,0,0,0,1,0,1,0,1,0
2011,0.17232747911599086,2,0.17,0,0,0,1,0,1,0,1,0
2011,0.1983627531930404,2,0.04,0,1,0,0,0,1,0,1,0
2014,0.18596500363254062,1,0.03,0,1,0,0,0,1,0,1,0
2010,0.20208207806119033,4,0.04,0,1,0,0,0,1,0,1,0
2009,0.14877175495104128,1,0.09,0,1,0,0,0,1,1,0,0
2011,0.14877175495104128,2,0.09,0,1,0,0,0,1,0,1,0
2012,0.12397625583004174,2,0.07,0,1,0,0,0,1,0,1,0
2015,0.17356725407204085,1,0.09,0,1,0,0,0,1,1,0,0
2010,0.10785918140139202,2,0.07,0,1,0,0,0,1,1,0,0
2013,0.0867830071485424,1,0.46,0,0,0,1,0,1,0,1,0
2015,0.06198750802754284,2,0.07,0,0,0,1,0,1,0,1,0
2014,0.0867830071485424,1,0.04,0,1,0,0,0,1,0,1,0
2014,0.18596500363254062,1,0.03,0,1,0,0,0,1,0,1,0
2018,0.030993134126293394,1,0.17,0,1,0,0,0,1,0,1,0
2011,0.09918075670904218,2,0.07,0,1,0,0,0,1,0,1,0
2018,0.012396509785543727,1,0.07,0,0,0,1,0,1,0,1,0
2018,0.03967155881864324,1,0.17,0,0,0,1,0,1,0,1,0
2018,0.012396509785543727,1,0.46,0,0,0,1,0,1,0,1,0
2017,0.0644670579396428,1,0.46,0,0,0,1,0,1,1,0,0
2006,0.14877175495104128,3,0.07,0,1,0,0,0,1,0,1,0
2019,0.013933830731045701,1,0.17,0,0,0,1,0,1,0,1,0
2017,0.08182390732434248,1,0.17,0,1,0,0,0,1,1,0,0
2017,0.07934435741224254,1,0.46,0,1,0,0,0,1,1,0,0
2013,0.060747733071492865,1,0.17,0,0,0,1,0,1,0,1,0
2006,0.12397625583004174,2,0.09,0,1,0,0,0,1,0,1,0
2018,0.03285279656036836,1,0.03,0,0,0,1,0,1,0,1,0
2002,0.12397625583004174,2,0.46,0,0,0,1,0,1,0,1,0
2017,0.08926255706064236,1,0.46,0,1,0,0,0,1,1,0,0
2009,0.06198750802754284,1,0.03,0,0,0,1,0,1,0,1,0
2017,0.05454885829124297,1,0.17,0,1,0,0,0,1,1,0,0
2017,0.07438525758804262,2,0.46,0,1,0,0,0,1,0,1,0
2002,0.14877175495104128,1,0.09,0,1,0,0,0,1,0,1,0
2010,0.16116950451154108,1,0.05,0,1,0,0,0,1,0,1,0
2017,0.0867830071485424,1,0.46,0,1,0,0,0,1,0,1,0
2014,0.024794259346043505,1,0.46,0,0,0,1,0,1,0,1,0
2009,0.07438525758804262,2,0.17,0,1,0,0,0,1,0,1,0
2007,0.24175487665478962,1,0.46,0,0,0,1,0,1,0,1,0
2010,0.11157850626954195,2,0.46,0,0,0,1,0,1,0,1,0
2006,0.09918075670904218,3,0.17,0,0,0,1,0,1,0,1,0
2011,0.1921638784127905,1,0.46,0,0,0,1,0,1,0,1,0
2019,0.043390883686793176,1,0.05,0,1,0,0,0,1,0,1,0
2018,0.024794259346043505,2,0.17,0,0,0,1,0,1,0,1,0
2010,0.09918075670904218,2,0.46,0,0,0,1,0,1,0,1,0
2017,0.024794259346043505,1,0.46,0,0,0,1,0,1,0,1,0
2009,0.06198750802754284,1,0.17,0,0,0,1,0,1,0,1,0
2010,0.1363740053905415,2,0.17,0,0,0,1,0,1,0,1,0
2013,0.03595223395049331,1,0.17,0,1,0,0,0,1,0,1,0
2013,0.14877175495104128,1,0.05,0,1,0,0,0,1,0,1,0
2011,0.0867830071485424,2,0.05,0,1,0,0,0,1,0,1,0
2013,0.04958975846704306,1,0.46,0,0,0,1,0,1,0,1,0
2017,0.024794259346043505,1,0.03,0,0,0,1,0,1,0,1,0
2013,0.06198750802754284,2,0.04,0,0,0,1,0,1,0,1,0
2013,0.06198750802754284,1,0.46,0,0,0,1,0,1,0,1,0
2012,0.060747733071492865,2,0.46,0,0,0,1,0,1,0,1,0
2011,0.0867830071485424,2,0.05,0,1,0,0,1,0,0,1,0
2011,0.11157850626954195,2,0.05,0,1,0,0,0,1,0,1,0
2020,0.030993134126293394,1,0.05,0,1,0,0,0,1,1,0,0
2018,0.004957860049243861,1,0.09,0,0,0,1,0,1,0,1,0
2018,0.012396509785543727,1,0.05,0,1,0,0,0,1,0,1,0
2015,0.018595384565793616,1,0.03,0,1,0,0,0,1,0,1,0
2018,0.037192008906543284,1,0.17,0,0,0,1,0,1,0,1,0
2014,0.05082953342309304,1,0.46,0,0,0,1,0,1,1,0,0
2012,0.03471245899444333,1,0.07,0,0,0,1,0,1,0,1,0
2019,0.019835159521843594,1,0.46,0,0,0,1,0,1,0,1,0
2015,0.0867830071485424,1,0.17,0,0,0,1,0,1,0,1,0
2017,0.01342800254897731,1,0.07,0,0,0,1,0,1,1,0,0
2018,0.018199896354813675,1,0.07,0,1,0,0,0,1,1,0,0
2009,0.06198750802754284,1,0.17,0,0,0,1,0,1,0,1,0
2016,0.06322728298359281,1,0.05,0,1,0,0,0,1,1,0,0
2015,0.030993134126293394,1,0.17,0,0,0,1,0,1,0,1,0
2014,0.037192008906543284,1,0.07,0,0,0,1,0,1,0,1,0
2014,0.09918075670904218,1,0.03,0,1,0,0,0,1,1,0,0
2017,0.06198750802754284,1,0.17,0,0,0,1,0,1,0,1,0
2015,0.2479537514350395,1,0.05,0,1,0,0,0,1,0,1,0
2013,0.05454885829124297,1,0.17,0,0,0,1,0,1,1,0,0
2015,0.012396509785543727,1,0.46,0,0,0,1,0,1,0,1,0
2019,0.024298349363623514,1,0.09,0,0,0,1,0,1,0,1,0
2005,0.04958975846704306,2,0.46,0,0,0,1,0,1,0,1,0
2011,0.06198750802754284,1,0.07,0,1,0,0,0,1,0,1,0
2009,0.05793344392125941,1,0.46,0,0,0,1,0,1,0,1,0
2015,0.04958975846704306,2,0.07,0,0,0,1,0,1,0,1,0
2011,0.09918075670904218,1,0.07,0,1,0,0,0,1,0,1,0
2002,0.09918075670904218,2,0.46,0,0,0,1,0,1,0,1,0
2018,0.029753359170243417,1,0.17,0,1,0,0,0,1,0,1,0
2017,0.02624479604462198,1,0.07,0,1,0,0,0,1,1,0,0
2013,0.20731764770058939,1,0.07,0,1,0,0,1,0,1,0,0
2017,0.04958975846704306,1,0.46,0,1,0,0,0,1,0,1,0
2011,0.07438525758804262,1,0.07,0,1,0,0,1,0,0,1,0
2016,0.1753525300087528,1,0.04,0,1,0,0,0,1,1,0,0
2007,0.14877175495104128,3,0.07,0,1,0,0,0,1,0,1,0
2012,0.17356725407204085,1,0.07,0,0,0,1,1,0,0,1,0
2012,0.26384022772186394,1,0.05,0,1,0,0,0,1,1,0,0
2019,0.037192008906543284,1,0.46,0,1,0,0,0,1,0,1,0
2017,0.10988621345453373,1,0.07,0,1,0,0,0,1,1,0,0
2018,0.030993134126293394,1,0.46,0,1,0,0,0,1,0,1,0
2017,0.024794259346043505,2,0.17,0,0,0,1,0,1,0,1,0
2012,0.1363740053905415,2,0.03,0,1,0,0,0,1,0,1,0
2008,0.14877175495104128,3,0.46,0,1,0,0,0,1,0,1,0
2011,0.18556083699686832,2,0.07,0,1,0,0,0,1,1,0,0
2007,0.12397625583004174,3,0.05,0,1,0,0,0,1,0,1,0
2006,0.14877175495104128,3,0.46,0,0,0,1,0,1,0,1,0
2003,0.14877175495104128,2,0.09,0,1,0,0,0,1,0,1,0
2018,0.030993134126293394,1,0.17,0,1,0,0,0,1,0,1,0
2014,0.043390883686793176,2,0.46,0,0,0,1,0,1,0,1,0
2002,0.04958975846704306,1,0.09,0,0,0,1,0,1,0,1,0
2015,0.07438525758804262,2,0.46,0,1,0,0,0,1,0,1,0
2012,0.06198750802754284,2,0.04,0,1,0,0,0,1,0,1,0
2013,0.030993134126293394,4,0.09,0,0,0,1,0,1,0,1,0
2016,0.030993134126293394,1,0.17,0,0,0,1,0,1,0,1,0
2019,0.009916959873443772,1,0.17,0,1,0,0,0,1,0,1,0
2017,0.07438525758804262,1,0.46,0,1,0,0,0,1,0,1,0
2006,0.2479537514350395,3,0.05,0,1,0,0,0,1,0,1,0
2018,0.024794259346043505,1,0.05,0,1,0,0,0,1,0,1,0
2013,0.12397625583004174,1,0.07,0,0,0,1,0,1,0,1,0
2015,0.0867830071485424,2,0.17,0,1,0,0,0,1,0,1,0
2012,0.08430345723644245,1,0.07,0,1,0,0,0,1,1,0,0
2017,0.047110208554943106,1,0.46,0,0,0,1,0,1,1,0,0
2013,0.09918075670904218,1,0.46,0,1,0,0,0,1,1,0,0
2014,0.08926255706064236,1,0.09,1,0,0,0,0,1,1,0,0
2012,0.09298188192879228,1,0.46,1,0,0,0,0,1,1,0,0
2014,0.053309083335193,1,0.46,0,0,0,1,0,1,1,0,0
2007,0.14877175495104128,2,0.46,0,0,0,1,0,1,0,1,0
2015,0.12397625583004174,1,0.09,0,1,0,0,0,1,0,1,0
2014,0.20208207806119033,1,0.46,0,1,0,0,0,1,0,1,0
2018,0.030993134126293394,1,0.46,0,0,0,1,1,0,0,1,0
2011,0.030993134126293394,1,0.46,0,0,0,1,0,1,0,1,0
2007,0.11157850626954195,2,0.46,0,0,0,1,0,1,0,1,0
2014,0.0867830071485424,2,0.05,0,1,0,0,0,1,0,1,0
2010,0.12149670591794177,2,0.17,1,0,0,0,0,1,0,1,0
2010,0.10156732349943838,1,0.07,0,1,0,0,0,1,0,1,0
2013,0.09918075670904218,2,0.07,0,1,0,0,0,1,0,1,0
2017,0.04958975846704306,1,0.03,0,0,0,1,0,1,0,1,0
2014,0.11157850626954195,1,0.46,0,1,0,0,0,1,0,1,0
2012,0.05702840820334293,1,0.17,0,0,0,1,0,1,0,1,0
2012,0.09918075670904218,1,0.05,0,1,0,0,0,1,0,1,0
2018,0.043390883686793176,1,0.03,0,0,0,1,0,1,0,1,0
2017,0.10175948861762613,1,0.07,0,1,0,0,1,0,0,1,0
2012,0.2479537514350395,1,0.05,0,1,0,0,0,1,0,1,0
2009,0.0867830071485424,1,0.07,0,0,0,1,0,1,0,1,0
2000,0.04958975846704306,3,0.46,0,0,0,1,0,1,0,1,0
2010,0.14877175495104128,3,0.07,0,1,0,0,0,1,0,1,0
2007,0.07438525758804262,3,0.07,0,0,0,1,0,1,0,1,0
2013,0.1363740053905415,1,0.46,0,1,0,0,0,1,0,1,0
2011,0.1202569309618918,2,0.09,0,1,0,0,0,1,0,1,0
2017,0.037192008906543284,1,0.46,0,0,0,1,0,1,0,1,0
2010,0.04958975846704306,1,0.17,0,0,0,1,0,1,0,1,0
2019,0.012396509785543727,1,0.17,0,0,0,1,0,1,0,1,0
2010,0.06452532736257714,1,0.46,0,0,0,1,0,1,0,1,0
2011,0.2479537514350395,3,0.04,0,1,0,0,0,1,0,1,0
2019,0.018595384565793616,2,0.09,0,0,0,1,1,0,0,1,0
